time;x;y;z
0,915;-1,30;1,32;-2,47
0,917;-1,17;1,35;-2,44
0,920;-1,05;1,38;-2,39
0,921;-0,83;1,36;-2,27
0,923;-0,74;1,31;-2,22
0,925;-0,66;1,27;-2,15
0,926;-0,62;1,19;-2,08
0,949;-0,58;1,11;-2,01
0,951;-0,58;1,04;-1,95
0,952;-0,60;0,93;-1,90
0,953;-0,63;0,88;-1,85
0,954;-0,76;0,70;-1,76
0,956;-0,82;0,62;-1,74
0,970;-0,89;0,52;-1,71
0,972;-0,97;0,44;-1,69
0,973;-1,03;0,34;-1,66
0,975;-1,08;0,26;-1,62
0,981;-1,13;0,24;-1,61
0,993;-1,21;0,14;-1,60
0,995;-1,25;-0,00;-1,54
1,018;-1,24;-0,06;-1,53
1,019;-1,22;-0,10;-1,50
1,021;-1,19;-0,15;-1,47
1,022;-1,15;-0,18;-1,44
1,023;-1,11;-0,21;-1,40
1,024;-1,05;-0,21;-1,35
1,025;-1,01;-0,29;-1,30
1,044;-0,87;-0,19;-1,15
1,046;-0,79;-0,22;-1,10
1,048;-0,71;-0,19;-1,02
1,052;-0,64;-0,19;-0,95
1,054;-0,59;-0,20;-0,85
1,056;-0,54;-0,12;-0,79
1,071;-0,50;-0,05;-0,73
1,073;-0,46;-0,02;-0,67
1,074;-0,39;0,08;-0,59
1,076;-0,36;0,14;-0,56
1,081;-0,36;0,19;-0,52
1,089;-0,37;0,22;-0,52
1,100;-0,39;0,26;-0,51
1,101;-0,39;0,28;-0,51
1,102;-0,43;0,32;-0,51
1,106;-0,46;0,38;-0,49
1,111;-0,48;0,38;-0,49
1,116;-0,50;0,39;-0,49
1,127;-0,49;0,36;-0,50
1,128;-0,49;0,34;-0,51
1,131;-0,49;0,33;-0,51
1,153;-0,48;0,30;-0,54
1,154;-0,45;0,27;-0,54
1,155;-0,39;0,25;-0,57
1,156;-0,36;0,25;-0,60
1,157;-0,33;0,26;-0,62
1,161;-0,29;0,27;-0,64
1,166;-0,27;0,29;-0,67
1,177;-0,26;0,31;-0,70
1,178;-0,24;0,35;-0,70
1,181;-0,23;0,39;-0,71
1,206;-0,18;0,46;-0,71
1,209;-0,16;0,47;-0,72
1,212;-0,13;0,53;-0,73
1,214;-0,10;0,56;-0,73
1,217;-0,06;0,61;-0,72
1,220;0,00;0,63;-0,74
1,222;0,04;0,65;-0,75
1,225;0,10;0,67;-0,76
1,227;0,19;0,73;-0,76
1,253;0,24;0,76;-0,75
1,255;0,25;0,79;-0,75
1,256;0,30;0,83;-0,74
1,258;0,31;0,86;-0,72
1,259;0,33;0,92;-0,69
1,260;0,35;0,94;-0,65
1,262;0,39;0,94;-0,61
1,266;0,43;0,94;-0,47
1,281;0,47;0,91;-0,39
1,283;0,49;0,87;-0,30
1,284;0,51;0,83;-0,20
1,286;0,52;0,79;-0,12
1,302;0,53;0,73;-0,03
1,303;0,52;0,68;0,07
1,304;0,53;0,62;0,15
1,306;0,50;0,48;0,33
1,311;0,49;0,41;0,43
1,316;0,50;0,33;0,52
1,330;0,54;0,26;0,67
1,332;0,62;0,19;0,78
1,333;0,68;0,15;0,84
1,359;0,73;0,11;0,90
1,361;0,78;0,05;0,95
1,365;0,85;-0,04;1,10
1,366;0,90;-0,08;1,20
1,368;0,95;-0,12;1,31
1,369;1,02;-0,12;1,44
1,371;1,09;-0,11;1,58
1,374;1,18;-0,09;1,71
1,376;1,23;-0,06;1,83
1,389;1,29;-0,01;1,97
1,392;1,40;0,14;2,24
1,393;1,42;0,24;2,36
1,396;1,45;0,35;2,47
1,401;1,44;0,47;2,57
1,415;1,42;0,58;2,66
1,416;1,43;0,67;2,74
1,417;1,41;0,76;2,82
1,431;1,42;0,83;2,89
1,432;1,41;0,94;3,01
1,434;1,41;0,99;3,07
1,454;1,43;1,02;3,13
1,455;1,43;1,04;3,20
1,456;1,46;1,06;3,24
1,457;1,48;1,06;3,23
1,458;1,49;1,02;3,25
1,461;1,51;0,99;3,32
1,466;1,51;0,96;3,33
1,479;1,51;0,93;3,35
1,481;1,51;0,89;3,37
1,482;1,50;0,88;3,39
1,502;1,49;0,88;3,38
1,503;1,47;0,86;3,38
1,511;1,48;0,83;3,39
1,512;1,45;0,74;3,37
1,514;1,48;0,67;3,37
1,515;1,50;0,61;3,36
1,516;1,51;0,60;3,37
1,528;1,49;0,59;3,35
1,530;1,47;0,52;3,32
1,531;1,43;0,52;3,30
1,538;1,42;0,48;3,26
1,549;1,38;0,33;3,22
1,554;1,35;0,25;3,21
1,556;1,35;0,19;3,20
1,557;1,33;0,14;3,20
1,571;1,33;0,10;3,21
1,572;1,33;0,07;3,23
1,575;1,32;0,08;3,25
1,576;1,33;0,09;3,29
1,581;1,35;0,17;3,39
1,597;1,36;0,26;3,46
1,598;1,38;0,36;3,54
1,599;1,37;0,51;3,63
1,601;1,36;0,67;3,71
1,614;1,34;0,81;3,78
1,615;1,33;0,94;3,85
1,616;1,31;1,05;3,90
1,632;1,25;1,20;3,94
1,633;1,21;1,23;3,94
1,634;1,18;1,24;3,90
1,638;1,14;1,21;3,85
1,650;1,08;1,16;3,78
1,656;1,03;1,08;3,69
1,658;0,98;0,98;3,60
1,659;0,95;0,86;3,49
1,677;0,88;0,61;3,29
1,679;0,84;0,47;3,19
1,680;0,83;0,35;3,10
1,681;0,79;0,25;3,01
1,682;0,74;0,17;2,93
1,699;0,70;0,12;2,85
1,700;0,65;0,09;2,81
1,703;0,59;0,10;2,74
1,704;0,47;0,13;2,62
1,719;0,41;0,17;2,57
1,721;0,35;0,21;2,50
1,722;0,30;0,25;2,46
1,723;0,25;0,29;2,39
1,726;0,20;0,34;2,33
1,732;0,14;0,36;2,26
1,749;0,12;0,37;2,17
1,750;0,09;0,37;1,96
1,754;0,09;0,36;1,87
1,755;0,08;0,36;1,76
1,759;0,08;0,33;1,66
1,776;0,09;0,33;1,55
1,778;0,10;0,30;1,44
1,779;0,12;0,28;1,32
1,781;0,11;0,25;1,21
1,782;0,13;0,23;1,00
1,797;0,16;0,22;0,87
1,799;0,16;0,21;0,77
1,800;0,17;0,20;0,66
1,806;0,17;0,19;0,56
1,807;0,18;0,20;0,42
1,827;0,18;0,19;0,34
1,828;0,18;0,19;0,21
1,829;0,15;0,20;-0,01
1,830;0,14;0,19;-0,11
1,832;0,12;0,20;-0,21
1,854;0,10;0,18;-0,32
1,855;0,08;0,17;-0,41
1,856;0,05;0,14;-0,52
1,857;0,02;0,11;-0,62
1,858;-0,01;0,09;-0,74
1,861;-0,09;-0,01;-1,01
1,866;-0,14;-0,06;-1,14
1,884;-0,19;-0,10;-1,29
1,885;-0,23;-0,15;-1,45
1,886;-0,27;-0,20;-1,62
1,887;-0,30;-0,25;-1,79
1,901;-0,35;-0,31;-1,96
1,907;-0,41;-0,41;-2,27
1,914;-0,45;-0,45;-2,40
1,916;-0,50;-0,49;-2,52
1,917;-0,53;-0,50;-2,61
1,918;-0,55;-0,53;-2,66
1,930;-0,57;-0,55;-2,69
1,932;-0,59;-0,59;-2,69
1,933;-0,58;-0,62;-2,67
1,937;-0,56;-0,69;-2,57
1,959;-0,56;-0,74;-2,52
1,960;-0,55;-0,76;-2,46
1,961;-0,54;-0,80;-2,41
1,963;-0,52;-0,83;-2,37
1,963;-0,52;-0,84;-2,37
1,982;-0,51;-0,86;-2,37
1,983;-0,51;-0,88;-2,40
1,984;-0,49;-0,90;-2,53
1,986;-0,50;-0,92;-2,61
1,989;-0,49;-0,90;-2,71
2,011;-0,50;-0,91;-2,82
2,019;-0,49;-0,91;-2,92
2,022;-0,51;-0,88;-3,01
2,023;-0,49;-0,82;-3,10
2,024;-0,51;-0,79;-3,19
2,025;-0,52;-0,75;-3,29
2,027;-0,55;-0,73;-3,34
2,028;-0,58;-0,71;-3,35
2,043;-0,63;-0,68;-3,36
2,044;-0,68;-0,66;-3,35
2,045;-0,73;-0,65;-3,36
2,046;-0,79;-0,63;-3,33
2,067;-0,84;-0,64;-3,31
2,068;-0,96;-0,65;-3,25
2,072;-1,01;-0,67;-3,22
2,074;-1,06;-0,67;-3,19
2,075;-1,11;-0,70;-3,17
2,077;-1,17;-0,73;-3,12
2,103;-1,21;-0,75;-3,10
2,105;-1,25;-0,77;-3,06
2,106;-1,30;-0,79;-3,05
2,107;-1,34;-0,82;-3,00
2,109;-1,36;-0,84;-2,99
2,110;-1,36;-0,84;-2,98
2,126;-1,35;-0,85;-2,97
2,127;-1,34;-0,85;-2,94
2,129;-1,32;-0,86;-2,91
2,130;-1,29;-0,82;-2,86
2,155;-1,27;-0,81;-2,80
2,156;-1,21;-0,77;-2,65
2,157;-1,17;-0,72;-2,55
2,159;-1,13;-0,69;-2,44
2,159;-1,07;-0,64;-2,34
2,160;-1,02;-0,56;-2,22
2,161;-0,96;-0,49;-2,14
2,197;-0,93;-0,41;-2,03
2,199;-0,85;-0,34;-1,97
2,200;-0,72;-0,20;-1,81
2,202;-0,66;-0,14;-1,76
2,203;-0,60;-0,10;-1,72
2,204;-0,55;-0,08;-1,65
2,206;-0,49;-0,04;-1,58
2,207;-0,47;0,01;-1,47
2,208;-0,49;0,04;-1,39
2,224;-0,49;0,06;-1,35
2,225;-0,47;0,11;-1,31
2,226;-0,47;0,11;-1,29
2,228;-0,46;0,09;-1,29
2,232;-0,46;0,08;-1,27
2,237;-0,46;0,06;-1,27
2,253;-0,45;0,06;-1,26
2,254;-0,45;0,02;-1,27
2,256;-0,45;-0,08;-1,26
2,258;-0,46;-0,13;-1,27
2,277;-0,47;-0,21;-1,27
2,279;-0,51;-0,31;-1,28
2,280;-0,55;-0,31;-1,27
2,282;-0,57;-0,29;-1,26
2,283;-0,58;-0,27;-1,23
2,287;-0,59;-0,27;-1,19
2,303;-0,58;-0,30;-1,09
2,304;-0,58;-0,31;-1,03
2,305;-0,57;-0,29;-0,97
2,307;-0,57;-0,23;-0,91
2,324;-0,56;-0,15;-0,83
2,325;-0,52;-0,09;-0,77
2,327;-0,53;0,01;-0,71
2,330;-0,47;0,09;-0,65
2,335;-0,37;0,28;-0,57
2,337;-0,29;0,39;-0,53
2,353;-0,20;0,46;-0,50
2,355;-0,10;0,52;-0,47
2,357;0,01;0,57;-0,41
2,359;0,12;0,59;-0,35
2,376;0,22;0,60;-0,30
2,377;0,31;0,60;-0,23
2,378;0,46;0,52;-0,03
2,379;0,52;0,49;0,10
2,382;0,57;0,42;0,25
2,387;0,63;0,36;0,42
2,402;0,65;0,30;0,59
2,405;0,65;0,24;0,76
2,407;0,64;0,22;0,89
2,408;0,60;0,19;1,01
2,427;0,50;0,17;1,16
2,429;0,43;0,18;1,19
2,430;0,38;0,15;1,20
2,432;0,32;0,15;1,20
2,433;0,28;0,12;1,19
2,440;0,25;0,11;1,19
2,458;0,23;0,08;1,20
2,459;0,20;0,05;1,23
2,460;0,17;0,05;1,34
2,461;0,16;0,07;1,43
2,462;0,17;0,10;1,53
2,467;0,16;0,15;1,66
2,488;0,16;0,20;1,79
2,489;0,18;0,27;1,94
2,490;0,19;0,32;2,10
2,492;0,23;0,39;2,24
2,513;0,29;0,53;2,49
2,520;0,30;0,61;2,60
2,523;0,30;0,70;2,69
2,524;0,28;0,79;2,79
2,525;0,26;0,89;2,87
2,526;0,25;0,99;2,94
2,527;0,24;1,08;3,02
2,529;0,21;1,17;3,09
2,544;0,18;1,27;3,14
2,546;0,19;1,29;3,14
2,547;0,21;1,21;3,13
2,548;0,23;1,09;3,11
2,552;0,27;0,97;3,06
2,573;0,34;0,86;3,05
2,574;0,39;0,75;3,02
2,575;0,45;0,65;3,00
2,576;0,58;0,51;2,96
2,577;0,63;0,50;2,95
2,598;0,66;0,50;2,96
2,600;0,69;0,52;2,98
2,601;0,70;0,53;3,01
2,602;0,66;0,55;3,05
2,603;0,62;0,56;3,09
2,623;0,58;0,59;3,15
2,624;0,49;0,62;3,27
2,625;0,45;0,63;3,32
2,627;0,39;0,65;3,35
2,629;0,35;0,66;3,40
2,633;0,29;0,67;3,41
2,637;0,23;0,68;3,42
2,652;0,16;0,73;3,44
2,654;0,03;0,84;3,56
2,655;-0,04;0,91;3,62
2,657;-0,10;0,96;3,65
2,678;-0,14;0,96;3,68
2,680;-0,18;0,89;3,68
2,681;-0,20;0,81;3,69
2,682;-0,21;0,75;3,69
2,683;-0,17;0,69;3,68
2,687;-0,09;0,52;3,62
2,705;-0,02;0,46;3,61
2,707;0,06;0,39;3,58
2,708;0,12;0,32;3,55
2,709;0,22;0,26;3,54
2,713;0,28;0,22;3,55
2,717;0,34;0,17;3,56
2,737;0,38;0,15;3,57
2,742;0,44;0,14;3,61
2,744;0,44;0,15;3,62
2,745;0,43;0,17;3,62
2,746;0,40;0,19;3,61
2,749;0,40;0,18;3,58
2,766;0,37;0,18;3,56
2,768;0,33;0,17;3,52
2,769;0,30;0,18;3,47
2,772;0,24;0,12;3,37
2,775;0,24;0,07;3,31
2,778;0,25;0,02;3,24
2,801;0,27;-0,08;3,17
2,802;0,30;-0,16;3,08
2,803;0,31;-0,18;3,00
2,804;0,32;-0,23;2,90
2,805;0,33;-0,24;2,83
2,808;0,28;-0,19;2,69
2,829;0,25;-0,14;2,64
2,830;0,21;-0,08;2,59
2,832;0,14;-0,02;2,55
2,834;0,08;0,05;2,51
2,835;0,03;0,10;2,47
2,837;-0,03;0,15;2,43
2,853;-0,09;0,18;2,37
2,854;-0,19;0,23;2,25
2,855;-0,23;0,26;2,17
2,858;-0,27;0,27;2,09
2,884;-0,31;0,27;2,00
2,885;-0,38;0,27;1,90
2,889;-0,42;0,26;1,80
2,890;-0,46;0,25;1,68
2,891;-0,51;0,23;1,55
2,893;-0,61;0,20;1,32
2,894;-0,66;0,22;1,18
2,911;-0,71;0,22;1,04
2,913;-0,74;0,21;0,90
2,914;-0,81;0,20;0,76
2,915;-0,85;0,19;0,62
2,917;-0,88;0,21;0,50
2,923;-0,91;0,23;0,35
2,948;-0,96;0,28;0,11
2,949;-0,96;0,28;-0,00
2,951;-0,95;0,28;-0,12
2,953;-0,94;0,28;-0,23
2,954;-0,90;0,26;-0,33
2,955;-0,87;0,21;-0,43
2,971;-0,84;0,18;-0,53
2,974;-0,79;0,15;-0,65
2,975;-0,74;0,11;-0,88
2,977;-0,72;0,10;-1,00
2,978;-0,71;0,09;-1,14
2,997;-0,69;0,09;-1,28
2,999;-0,67;0,10;-1,44
3,000;-0,67;0,08;-1,57
3,013;-0,71;0,05;-1,68
3,014;-0,70;0,07;-1,94
3,015;-0,68;0,05;-2,10
3,019;-0,66;0,01;-2,28
3,022;-0,62;-0,03;-2,49
3,025;-0,58;-0,08;-2,67
3,029;-0,51;-0,12;-2,89
3,058;-0,45;-0,20;-3,09
3,060;-0,37;-0,31;-3,31
3,061;-0,24;-0,49;-3,67
3,062;-0,19;-0,54;-3,80
3,064;-0,15;-0,57;-3,91
3,065;-0,10;-0,57;-3,97
3,067;-0,06;-0,58;-3,99
3,068;-0,03;-0,53;-3,95
3,101;-0,01;-0,47;-3,86
3,103;0,02;-0,42;-3,74
3,104;0,07;-0,30;-3,49
3,106;0,11;-0,22;-3,37
3,108;0,12;-0,16;-3,26
3,110;0,11;-0,10;-3,17
3,111;0,10;-0,06;-3,09
3,112;0,07;-0,02;-3,07
3,113;0,03;0,01;-3,06
