time;x;y;z
0,887;0,26;-0,02;-0,36
0,889;0,24;-0,06;-0,33
0,904;0,22;-0,07;-0,31
0,906;0,19;-0,09;-0,28
0,907;0,18;-0,09;-0,25
0,909;0,16;-0,11;-0,22
0,911;0,14;-0,11;-0,21
0,917;0,13;-0,13;-0,18
0,937;0,10;-0,18;-0,15
0,938;0,10;-0,18;-0,15
0,939;0,10;-0,20;-0,14
0,940;0,11;-0,23;-0,14
0,941;0,11;-0,25;-0,15
0,946;0,12;-0,26;-0,17
0,951;0,14;-0,26;-0,17
0,970;0,16;-0,31;-0,21
0,971;0,16;-0,45;-0,20
0,972;0,18;-0,33;-0,22
0,973;0,17;-0,24;-0,25
0,992;0,18;-0,23;-0,24
0,994;0,19;-0,27;-0,26
0,995;0,20;-0,31;-0,25
0,996;0,21;-0,36;-0,25
0,997;0,26;-0,41;-0,23
1,001;0,27;-0,42;-0,22
1,020;0,29;-0,40;-0,22
1,021;0,32;-0,37;-0,21
1,022;0,35;-0,31;-0,22
1,023;0,37;-0,24;-0,22
1,038;0,38;-0,21;-0,21
1,039;0,42;-0,20;-0,22
1,041;0,47;-0,16;-0,22
1,042;0,49;-0,14;-0,20
1,047;0,50;-0,10;-0,18
1,051;0,51;-0,07;-0,17
1,072;0,52;-0,06;-0,14
1,073;0,53;-0,05;-0,12
1,074;0,53;-0,04;-0,13
1,075;0,53;-0,04;-0,12
1,077;0,52;-0,03;-0,13
1,081;0,50;-0,04;-0,12
1,086;0,47;-0,05;-0,11
1,104;0,43;-0,09;-0,10
1,106;0,38;-0,08;-0,08
1,107;0,32;-0,13;-0,07
1,108;0,28;-0,12;-0,05
1,111;0,20;-0,14;-0,04
1,117;0,08;-0,18;-0,00
1,122;0,04;-0,22;0,04
1,139;0,00;-0,23;0,07
1,141;-0,03;-0,29;0,10
1,142;-0,05;-0,34;0,13
1,144;-0,04;-0,35;0,16
1,169;-0,03;-0,35;0,19
1,170;0,00;-0,35;0,21
1,172;0,09;-0,37;0,25
1,173;0,14;-0,37;0,26
1,175;0,19;-0,33;0,26
1,175;0,24;-0,26;0,26
1,177;0,25;-0,18;0,26
1,193;0,28;-0,08;0,26
1,194;0,28;0,02;0,27
1,195;0,28;0,15;0,27
1,197;0,20;0,34;0,29
1,202;0,15;0,44;0,30
1,207;0,10;0,55;0,32
1,232;0,05;0,63;0,33
1,234;0,00;0,67;0,32
1,241;-0,04;0,68;0,34
1,242;-0,05;0,65;0,33
1,244;-0,04;0,60;0,32
1,245;0,02;0,50;0,29
1,246;0,05;0,45;0,25
1,247;0,09;0,40;0,23
1,263;0,12;0,34;0,19
1,264;0,14;0,30;0,15
1,265;0,14;0,26;0,11
1,267;0,12;0,23;0,08
1,272;0,08;0,25;0,06
1,289;-0,09;0,42;0,05
1,290;-0,23;0,53;0,13
1,292;-0,35;0,66;0,23
1,293;-0,47;0,76;0,32
1,297;-0,61;0,82;0,39
1,301;-0,73;0,85;0,46
1,307;-0,84;0,88;0,51
1,326;-0,93;0,90;0,54
1,328;-1,10;0,94;0,48
1,329;-1,17;0,94;0,42
1,330;-1,21;0,94;0,33
1,332;-1,24;0,92;0,23
1,337;-1,24;0,82;0,18
1,355;-1,22;0,69;0,17
1,357;-1,16;0,53;0,18
1,358;-1,07;0,36;0,17
1,359;-0,77;-0,08;0,14
1,381;-0,61;-0,30;0,10
1,382;-0,43;-0,49;0,07
1,383;-0,23;-0,61;0,03
1,384;-0,07;-0,69;-0,01
1,386;0,09;-0,74;-0,02
1,387;0,23;-0,74;-0,04
1,403;0,39;-0,58;-0,04
1,404;0,41;-0,45;-0,02
