time;x;y;z
0,902;-0,52;2,22;0,31
0,920;-0,52;2,30;0,37
0,922;-0,52;2,30;0,43
0,923;-0,54;2,26;0,45
0,924;-0,58;2,19;0,46
0,925;-0,66;2,02;0,48
0,929;-0,71;1,96;0,48
0,949;-0,74;1,87;0,50
0,950;-0,79;1,75;0,50
0,951;-0,83;1,63;0,51
0,956;-0,87;1,50;0,51
0,957;-0,88;1,43;0,48
0,960;-0,89;1,38;0,43
0,977;-0,90;1,29;0,46
0,979;-0,90;1,28;0,47
0,981;-0,93;1,35;0,46
0,984;-0,94;1,46;0,45
0,986;-0,93;1,57;0,44
1,005;-0,93;1,71;0,42
1,006;-0,90;1,85;0,41
1,012;-0,87;1,99;0,40
1,014;-0,74;2,29;0,40
1,015;-0,68;2,48;0,40
1,016;-0,58;2,67;0,41
1,031;-0,49;2,83;0,45
1,032;-0,41;2,93;0,50
1,034;-0,35;2,98;0,53
1,036;-0,34;2,98;0,57
1,053;-0,34;2,97;0,57
1,054;-0,46;2,74;0,59
1,055;-0,56;2,58;0,61
1,056;-0,70;2,39;0,60
1,060;-0,85;2,14;0,61
1,064;-1,02;1,87;0,60
1,077;-1,23;1,57;0,56
1,079;-1,43;1,26;0,51
1,080;-1,61;0,92;0,43
1,105;-1,98;0,18;0,22
1,106;-2,13;-0,16;0,13
1,107;-2,27;-0,36;0,08
1,109;-2,33;-0,48;0,05
1,110;-2,33;-0,57;0,05
1,110;-2,30;-0,67;0,07
1,114;-2,22;-0,79;0,08
1,137;-2,13;-0,89;0,12
1,138;-1,94;-0,93;0,24
1,139;-1,86;-0,90;0,31
1,140;-1,75;-0,85;0,38
1,140;-1,64;-0,81;0,43
1,144;-1,54;-0,78;0,49
1,151;-1,43;-0,73;0,51
1,171;-1,33;-0,72;0,54
1,173;-1,20;-0,70;0,53
1,174;-0,98;-0,73;0,51
1,176;-0,86;-0,73;0,50
1,177;-0,78;-0,76;0,48
1,181;-0,68;-0,80;0,47
1,201;-0,60;-0,82;0,44
1,203;-0,51;-0,85;0,43
1,206;-0,44;-0,88;0,40
1,207;-0,28;-0,94;0,34
1,209;-0,22;-0,96;0,31
1,212;-0,17;-0,97;0,28
1,214;-0,13;-0,98;0,26
1,241;-0,09;-1,00;0,24
1,242;-0,07;-0,99;0,21
1,244;-0,04;-0,99;0,20
1,245;-0,01;-0,99;0,19
1,246;0,01;-0,98;0,15
1,247;0,03;-0,95;0,13
1,250;0,02;-0,92;0,10
1,270;0,03;-0,87;0,06
1,271;0,01;-0,81;0,03
1,274;0,01;-0,79;0,01
1,276;-0,03;-0,70;-0,02
1,277;-0,04;-0,57;-0,06
1,280;-0,03;-0,35;-0,12
1,297;0,00;-0,35;-0,15
1,299;0,04;-0,34;-0,20
1,302;0,07;-0,33;-0,23
1,303;0,10;-0,30;-0,26
1,304;0,14;-0,27;-0,30
1,319;0,19;-0,26;-0,35
1,321;0,24;-0,21;-0,39
1,322;0,31;-0,14;-0,45
1,325;0,35;-0,11;-0,46
1,330;0,37;-0,09;-0,47
1,335;0,38;-0,08;-0,47
1,348;0,39;-0,10;-0,48
1,349;0,38;-0,08;-0,47
1,350;0,37;-0,04;-0,45
1,371;0,33;-0,08;-0,45
1,372;0,26;-0,11;-0,42
1,373;0,25;-0,11;-0,44
1,375;0,24;-0,15;-0,44
1,376;0,27;-0,21;-0,45
1,380;0,34;-0,28;-0,46
1,385;0,41;-0,36;-0,51
1,402;0,53;-0,45;-0,56
1,404;0,66;-0,54;-0,61
1,405;1,04;-0,74;-0,74
1,407;1,28;-0,84;-0,82
1,425;1,47;-0,88;-0,91
1,427;1,67;-0,92;-0,98
1,428;1,87;-0,92;-1,05
1,429;2,00;-0,92;-1,12
1,430;2,14;-0,90;-1,19
1,447;2,22;-0,88;-1,24
1,448;2,30;-0,72;-1,30
1,450;2,30;-0,56;-1,31
1,451;2,30;-0,42;-1,29
1,476;2,30;-0,33;-1,28
1,478;2,28;-0,26;-1,23
1,479;2,26;-0,23;-1,22
1,480;2,24;-0,19;-1,18
1,481;2,19;-0,15;-1,17
1,482;2,09;-0,09;-1,11
1,485;2,04;-0,06;-1,09
1,521;1,99;-0,02;-1,06
1,525;1,97;0,01;-1,00
1,541;1,93;0,05;-0,96
1,543;1,92;0,07;-0,93
1,545;1,90;0,10;-0,88
1,547;1,90;0,13;-0,84
1,548;1,86;0,18;-0,76
1,550;1,85;0,19;-0,73
1,551;1,82;0,21;-0,68
1,553;1,81;0,24;-0,66
1,554;1,79;0,30;-0,63
1,556;1,77;0,32;-0,62
1,558;1,75;0,36;-0,61
1,560;1,73;0,37;-0,62
1,562;1,71;0,49;-0,66
1,584;1,69;0,58;-0,70
1,585;1,67;0,67;-0,73
1,586;1,68;0,74;-0,76
1,587;1,68;0,85;-0,77
1,588;1,69;0,94;-0,77
1,590;1,71;1,06;-0,75
1,595;1,80;1,21;-0,67
1,601;1,87;1,28;-0,62
1,619;1,94;1,37;-0,57
1,620;2,00;1,56;-0,53
1,621;2,07;1,64;-0,48
1,622;2,11;1,67;-0,44
1,625;2,16;1,67;-0,41
1,630;2,22;1,67;-0,40
1,635;2,31;1,63;-0,39
1,653;2,35;1,59;-0,43
1,655;2,36;1,54;-0,45
1,656;2,36;1,50;-0,48
1,657;2,34;1,45;-0,52
1,660;2,30;1,37;-0,58
1,665;2,26;1,31;-0,64
1,683;2,20;1,29;-0,71
1,686;2,08;1,29;-0,85
1,687;2,00;1,32;-0,92
1,688;1,92;1,35;-0,97
1,690;1,83;1,40;-1,00
1,725;1,77;1,48;-1,05
1,727;1,69;1,55;-1,04
1,728;1,64;1,63;-1,04
1,729;1,57;1,68;-1,04
1,731;1,48;1,85;-1,01
1,732;1,44;1,95;-1,00
1,733;1,37;2,13;-0,99
1,734;1,34;2,20;-0,99
1,736;1,26;2,25;-0,99
1,751;1,20;2,29;-0,99
1,753;1,15;2,35;-1,01
1,756;1,09;2,37;-1,03
1,758;0,95;2,44;-1,14
1,760;0,88;2,46;-1,19
1,765;0,79;2,47;-1,24
1,788;0,71;2,50;-1,29
1,789;0,63;2,55;-1,36
1,790;0,56;2,60;-1,42
1,791;0,46;2,65;-1,53
1,792;0,38;2,67;-1,60
1,795;0,19;2,71;-1,78
1,800;0,11;2,72;-1,87
1,817;0,01;2,71;-1,95
1,821;-0,06;2,72;-2,03
1,822;-0,16;2,73;-2,08
1,824;-0,25;2,74;-2,14
1,825;-0,34;2,74;-2,17
1,839;-0,42;2,77;-2,21
1,841;-0,58;2,88;-2,28
1,842;-0,67;2,98;-2,33
1,864;-0,75;3,07;-2,36
1,866;-0,83;3,17;-2,39
1,867;-0,90;3,23;-2,39
1,869;-0,96;3,27;-2,39
1,871;-1,05;3,30;-2,38
1,873;-1,14;3,37;-2,38
1,895;-1,28;3,32;-2,39
1,896;-1,37;3,32;-2,43
1,897;-1,44;3,29;-2,51
1,899;-1,53;3,24;-2,60
1,900;-1,61;3,17;-2,71
1,902;-1,70;3,11;-2,85
1,919;-1,77;3,02;-2,98
1,920;-1,79;2,93;-3,11
1,921;-1,82;2,83;-3,43
1,922;-1,83;2,81;-3,58
1,926;-1,82;2,76;-3,71
1,950;-1,80;2,66;-3,79
1,951;-1,76;2,53;-3,87
1,952;-1,70;2,40;-3,92
1,954;-1,60;2,23;-3,99
1,955;-1,52;2,06;-4,04
1,956;-1,35;1,72;-4,10
1,982;-1,29;1,54;-4,08
1,983;-1,25;1,37;-4,05
1,984;-1,24;1,19;-3,99
1,985;-1,25;1,03;-3,93
1,989;-1,28;0,90;-3,87
1,990;-1,33;0,76;-3,83
1,991;-1,51;0,55;-3,77
2,006;-1,62;0,47;-3,76
2,012;-1,75;0,40;-3,76
2,013;-1,88;0,34;-3,77
2,014;-2,01;0,31;-3,79
2,015;-2,15;0,28;-3,81
2,033;-2,27;0,29;-3,85
2,035;-2,38;0,31;-3,88
2,036;-2,55;0,40;-3,93
2,039;-2,60;0,45;-3,96
2,040;-2,65;0,49;-3,98
2,056;-2,67;0,52;-3,99
2,057;-2,69;0,54;-4,01
2,058;-2,70;0,56;-3,98
2,078;-2,68;0,56;-3,99
2,079;-2,67;0,55;-3,96
2,081;-2,60;0,46;-3,85
2,081;-2,55;0,41;-3,78
2,082;-2,49;0,34;-3,69
2,104;-2,43;0,27;-3,61
2,107;-2,36;0,18;-3,52
2,108;-2,27;0,11;-3,44
2,111;-2,18;0,04;-3,36
2,112;-2,12;-0,04;-3,29
2,113;-1,98;-0,12;-3,17
2,115;-1,93;-0,12;-3,12
2,136;-1,87;-0,15;-3,08
2,139;-1,82;-0,19;-3,01
2,142;-1,78;-0,23;-2,96
2,143;-1,73;-0,23;-2,92
2,145;-1,68;-0,22;-2,86
2,146;-1,63;-0,20;-2,80
2,153;-1,52;-0,20;-2,67
2,172;-1,45;-0,18;-2,59
2,174;-1,36;-0,20;-2,52
2,175;-1,28;-0,19;-2,42
2,176;-1,20;-0,18;-2,33
2,178;-1,13;-0,15;-2,24
2,180;-1,05;-0,12;-2,16
2,185;-1,00;-0,08;-2,08
2,203;-0,90;0,01;-1,91
2,207;-0,87;0,04;-1,84
2,208;-0,84;0,14;-1,75
2,209;-0,85;0,25;-1,68
2,210;-0,87;0,45;-1,61
2,215;-0,92;0,54;-1,53
2,235;-0,94;0,65;-1,47
2,239;-0,96;0,73;-1,35
2,243;-0,99;0,95;-1,14
2,244;-1,03;1,09;-1,06
2,245;-1,12;1,27;-0,98
2,246;-1,23;1,48;-0,89
2,250;-1,35;1,64;-0,82
2,273;-1,45;1,79;-0,74
2,275;-1,55;1,89;-0,63
2,276;-1,64;1,96;-0,57
2,277;-1,74;2,01;-0,49
2,281;-1,76;1,90;-0,48
2,282;-1,74;1,73;-0,48
2,285;-1,72;1,52;-0,52
2,302;-1,66;1,30;-0,57
2,304;-1,59;1,10;-0,62
2,307;-1,50;0,88;-0,69
2,308;-1,42;0,68;-0,76
2,327;-1,27;0,33;-0,85
2,329;-1,20;0,17;-0,90
2,332;-1,18;0,06;-0,94
2,333;-1,16;-0,03;-0,97
2,335;-1,17;-0,07;-1,02
2,336;-1,17;-0,11;-1,06
2,368;-1,18;-0,13;-1,08
2,371;-1,18;-0,13;-1,12
2,372;-1,14;0,01;-1,14
2,373;-1,08;0,03;-1,12
2,375;-0,99;0,06;-1,10
2,384;-0,86;0,11;-1,06
2,385;-0,70;0,19;-1,01
2,388;-0,52;0,30;-0,91
2,389;-0,34;0,40;-0,80
2,390;0,11;0,56;-0,46
2,391;0,32;0,59;-0,28
2,406;0,55;0,54;-0,05
2,407;0,77;0,50;0,17
2,408;0,99;0,44;0,40
2,410;1,14;0,44;0,58
2,415;1,23;0,40;0,73
2,446;1,27;0,38;0,87
2,448;1,22;0,33;1,07
2,449;1,17;0,31;1,13
2,451;1,10;0,27;1,14
2,452;1,01;0,22;1,14
2,453;0,96;0,15;1,11
2,455;0,88;0,08;1,08
2,478;0,83;-0,00;1,05
2,479;0,78;-0,07;1,03
2,481;0,78;-0,20;1,04
2,482;0,80;-0,26;1,07
2,483;0,82;-0,32;1,11
2,484;0,86;-0,38;1,17
2,485;0,92;-0,41;1,26
2,491;0,99;-0,44;1,34
2,516;1,07;-0,44;1,46
2,525;1,12;-0,43;1,56
2,526;1,24;-0,39;1,79
2,527;1,28;-0,33;1,92
2,528;1,30;-0,24;2,05
2,529;1,30;-0,14;2,17
2,531;1,32;0,02;2,27
2,533;1,32;0,08;2,38
2,554;1,30;0,19;2,48
2,555;1,28;0,33;2,57
2,556;1,23;0,52;2,73
2,557;1,21;0,55;2,82
2,558;1,20;0,63;2,90
2,561;1,19;0,75;2,98
2,565;1,18;0,83;3,03
2,571;1,18;0,85;3,09
2,596;1,20;0,87;3,14
2,597;1,22;0,87;3,18
2,598;1,30;0,86;3,24
2,599;1,34;0,86;3,27
2,601;1,37;0,83;3,31
2,603;1,41;0,80;3,32
2,625;1,44;0,77;3,32
2,626;1,47;0,76;3,33
2,627;1,49;0,73;3,33
2,628;1,48;0,70;3,35
2,629;1,48;0,62;3,33
2,630;1,45;0,57;3,32
2,636;1,44;0,51;3,31
2,660;1,42;0,46;3,30
2,661;1,39;0,42;3,27
2,662;1,38;0,37;3,25
2,663;1,36;0,33;3,23
2,664;1,37;0,27;3,22
2,665;1,36;0,21;3,19
2,671;1,37;0,21;3,18
2,694;1,40;0,18;3,16
2,696;1,42;0,19;3,16
2,697;1,45;0,18;3,16
2,698;1,49;0,19;3,17
2,699;1,53;0,19;3,18
