time;x;y;z
0,942;0,17;-0,51;-0,09
0,943;0,19;-0,50;-0,11
0,944;0,22;-0,35;-0,18
0,945;0,23;-0,33;-0,19
0,946;0,25;-0,29;-0,17
0,961;0,27;-0,26;-0,15
0,962;0,28;-0,20;-0,13
0,963;0,29;-0,14;-0,08
0,965;0,28;-0,08;-0,07
0,995;0,27;-0,01;-0,04
0,996;0,25;0,16;0,01
0,997;0,17;0,35;0,05
0,999;0,11;0,39;0,07
1,000;0,04;0,40;0,08
1,002;-0,03;0,40;0,09
1,007;-0,09;0,37;0,10
1,009;-0,15;0,34;0,09
1,010;-0,19;0,33;0,10
1,014;-0,26;0,18;0,12
1,030;-0,28;0,08;0,12
1,032;-0,30;-0,01;0,11
1,033;-0,30;-0,12;0,11
1,035;-0,31;-0,18;0,12
1,065;-0,30;-0,23;0,11
1,067;-0,28;-0,29;0,11
1,069;-0,26;-0,37;0,10
1,070;-0,16;-0,43;0,07
1,072;-0,10;-0,42;0,04
1,075;-0,06;-0,42;0,02
1,076;-0,02;-0,38;-0,01
1,077;-0,01;-0,31;-0,02
1,079;0,00;-0,25;-0,04
1,100;0,01;-0,18;-0,05
1,102;0,03;-0,12;-0,05
1,103;0,07;-0,00;-0,01
1,105;0,08;0,01;0,04
1,106;0,08;0,03;0,06
1,109;0,06;0,05;0,07
1,116;0,06;0,04;0,07
1,136;0,06;0,02;0,08
1,137;0,05;0,02;0,08
1,138;0,05;0,00;0,06
1,139;0,01;-0,05;0,02
1,140;-0,02;-0,08;-0,01
1,144;-0,04;-0,12;-0,04
1,149;-0,07;-0,14;-0,05
1,176;-0,10;-0,17;-0,07
1,177;-0,12;-0,18;-0,09
1,178;-0,13;-0,16;-0,09
1,179;-0,15;-0,14;-0,10
1,180;-0,17;-0,12;-0,11
1,181;-0,17;-0,12;-0,12
1,209;-0,16;-0,10;-0,11
1,211;-0,15;-0,09;-0,11
1,212;-0,11;-0,09;-0,13
1,213;-0,10;-0,07;-0,13
1,214;-0,06;-0,07;-0,14
1,215;-0,01;-0,07;-0,12
1,216;0,01;-0,07;-0,13
1,235;0,03;-0,05;-0,13
1,236;0,02;-0,06;-0,14
1,237;0,03;-0,07;-0,15
1,239;0,03;-0,10;-0,17
1,240;0,03;-0,08;-0,18
1,244;0,02;-0,08;-0,18
1,250;0,02;-0,08;-0,19
1,268;0,04;-0,05;-0,22
1,270;0,05;-0,02;-0,24
1,271;0,08;0,03;-0,23
1,272;0,08;0,18;-0,23
1,275;0,10;0,20;-0,23
1,282;0,09;0,19;-0,24
1,300;0,09;0,16;-0,26
1,301;0,11;0,13;-0,27
1,302;0,10;0,14;-0,27
1,303;0,11;0,12;-0,26
1,304;0,12;0,10;-0,25
1,332;0,11;0,10;-0,25
1,334;0,10;0,10;-0,24
1,335;0,08;0,08;-0,23
1,336;0,07;0,06;-0,22
1,337;0,05;0,27;-0,19
1,338;0,04;0,26;-0,20
1,339;0,03;0,16;-0,21
1,359;0,01;0,03;-0,23
1,361;0,02;-0,06;-0,28
1,362;0,00;-0,14;-0,31
1,363;0,02;-0,19;-0,36
1,364;0,03;-0,19;-0,39
1,393;0,02;-0,25;-0,43
1,394;0,01;-0,27;-0,42
1,395;0,02;-0,31;-0,43
1,397;0,01;-0,31;-0,44
1,398;-0,00;-0,33;-0,45
1,399;0,00;-0,35;-0,47
1,400;0,01;-0,39;-0,49
1,427;0,01;-0,44;-0,53
1,429;0,04;-0,55;-0,59
1,430;0,05;-0,59;-0,63
1,431;0,06;-0,63;-0,65
1,433;0,08;-0,66;-0,65
1,435;0,09;-0,70;-0,65
1,436;0,11;-0,71;-0,62
1,464;0,14;-0,71;-0,59
1,466;0,17;-0,68;-0,55
1,468;0,22;-0,68;-0,45
1,469;0,24;-0,66;-0,41
1,470;0,27;-0,64;-0,38
1,477;0,31;-0,62;-0,38
1,479;0,33;-0,61;-0,37
1,480;0,34;-0,54;-0,39
1,482;0,35;-0,60;-0,39
1,502;0,36;-0,65;-0,41
1,504;0,40;-0,58;-0,47
1,505;0,39;-0,51;-0,47
1,511;0,35;-0,45;-0,47
1,512;0,31;-0,38;-0,45
1,517;0,24;-0,32;-0,45
1,518;0,18;-0,25;-0,41
1,522;0,14;-0,22;-0,38
1,542;0,08;-0,21;-0,35
1,544;-0,00;-0,23;-0,32
1,545;-0,05;-0,23;-0,30
1,546;-0,10;-0,25;-0,32
1,547;-0,17;-0,26;-0,32
1,549;-0,23;-0,25;-0,36
1,577;-0,32;-0,25;-0,38
1,579;-0,36;-0,31;-0,36
1,580;-0,37;-0,37;-0,33
1,581;-0,31;-0,44;-0,38
1,586;-0,28;-0,44;-0,40
1,588;-0,27;-0,44;-0,42
1,589;-0,22;-0,47;-0,44
1,591;-0,19;-0,48;-0,46
1,621;-0,15;-0,51;-0,48
1,623;-0,10;-0,54;-0,50
1,625;0,01;-0,60;-0,53
1,626;0,08;-0,63;-0,56
1,627;0,16;-0,66;-0,58
1,628;0,25;-0,66;-0,60
1,630;0,33;-0,62;-0,63
1,632;0,40;-0,57;-0,65
1,635;0,48;-0,51;-0,66
1,660;0,54;-0,47;-0,67
1,662;0,67;-0,37;-0,64
1,663;0,71;-0,30;-0,61
1,664;0,73;-0,21;-0,60
1,665;0,75;-0,13;-0,56
1,666;0,74;-0,04;-0,53
1,700;0,73;0,03;-0,50
1,701;0,69;0,09;-0,47
1,702;0,65;0,12;-0,44
1,703;0,55;0,17;-0,46
1,705;0,49;0,20;-0,47
1,706;0,44;0,22;-0,49
1,708;0,40;0,20;-0,51
1,710;0,36;0,16;-0,53
1,711;0,32;0,11;-0,56
1,750;0,26;0,03;-0,57
1,751;0,21;-0,03;-0,60
1,752;0,10;-0,10;-0,60
1,755;0,07;-0,13;-0,60
1,756;0,03;-0,16;-0,59
1,757;0,00;-0,22;-0,58
1,758;-0,03;-0,27;-0,55
1,759;-0,04;-0,31;-0,50
1,760;-0,07;-0,31;-0,46
1,761;-0,09;-0,32;-0,40
1,796;-0,11;-0,29;-0,28
1,797;-0,12;-0,30;-0,25
1,799;-0,14;-0,30;-0,20
1,800;-0,17;-0,30;-0,16
1,802;-0,23;-0,28;-0,13
1,803;-0,27;-0,24;-0,13
1,805;-0,30;-0,20;-0,10
1,806;-0,35;-0,13;-0,09
1,807;-0,42;-0,07;-0,06
1,852;-0,46;-0,04;-0,05
1,854;-0,45;-0,01;-0,04
1,856;-0,45;0,01;-0,03
1,858;-0,43;0,06;-0,03
1,859;-0,40;0,09;-0,03
1,861;-0,34;0,07;-0,04
1,862;-0,30;0,06;-0,06
1,863;-0,21;-0,01;-0,13
1,865;-0,18;-0,05;-0,15
1,866;-0,15;-0,08;-0,20
1,867;-0,14;-0,11;-0,21
1,868;-0,11;-0,11;-0,21
1,870;-0,09;-0,10;-0,22
1,892;-0,06;-0,04;-0,20
1,894;-0,03;0,02;-0,16
1,896;0,04;0,11;-0,06
1,897;0,10;0,12;-0,01
1,898;0,14;0,13;0,04
1,900;0,18;0,13;0,07
1,928;0,22;0,13;0,08
1,929;0,23;0,13;0,08
1,930;0,22;0,15;0,07
1,932;0,20;0,17;0,03
1,933;0,09;0,18;-0,02
1,934;0,02;0,16;-0,03
1,937;-0,03;0,11;-0,03
1,954;-0,06;0,04;-0,05
1,962;-0,09;-0,02;-0,02
1,963;-0,13;-0,04;-0,01
1,964;-0,18;-0,03;0,00
1,965;-0,20;-0,01;0,03
1,966;-0,23;-0,00;0,09
1,996;-0,23;0,01;0,09
1,998;-0,23;0,03;0,12
1,999;-0,22;0,07;0,12
2,000;-0,17;0,12;0,13
2,001;-0,12;0,15;0,12
2,002;-0,04;0,18;0,11
2,012;0,16;0,18;0,11
2,013;0,27;0,18;0,11
2,014;0,36;0,20;0,13
2,034;0,44;0,23;0,12
2,035;0,48;0,28;0,11
2,036;0,52;0,30;0,11
2,039;0,55;0,34;0,09
2,040;0,58;0,37;0,09
2,041;0,57;0,45;0,06
2,093;0,54;0,48;0,03
